ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x200	50.0	spr	1.0	0.9	10.0	10000.0		98.13	0.030917197465896606	35.80377697944641	2992.0	"1x78-1x152
"
2x200	50.0	spr	1.0	0.9	10.0	10000.0		98.1	0.03412260487675667	31.99420404434204	2963.0	"1x75-1x149
"
6x100	50.0	spr	0.1	0.1	10.0	10000.0		97.9	0.001375715364702046	180.04737520217896	13585.0	"1x98-5x100
"
6x100	50.0	spr	0.1	0.1	10.0	10000.0		97.46	0.021472269669175148	180.06431603431702	895.0	"1x95-5x100
"
6x100	50.0	spr	0.1	0.1	10.0	10000.0		97.91	0.001366392127238214	180.0711510181427	8419.0	"1x99-5x100
"
6x100	50.0	spr	0.1	0.5	10.0	10000.0		98.04	2.4371687686652876e-05	180.03620386123657	5725.0	"1x95-5x100
"
6x100	50.0	spr	0.1	0.5	10.0	10000.0		98.0	0.0002714752627070993	180.0483410358429	3177.0	"1x90-5x100
"
6x100	50.0	spr	0.1	0.5	10.0	10000.0		97.9	0.006420201156288385	180.3816590309143	14530.0	"1x97-5x100
"
6x100	50.0	spr	0.1	0.9	10.0	10000.0		97.86	0.0022631355095654726	180.06234693527222	15156.0	"1x99-5x100
"
6x100	50.0	spr	0.1	0.9	10.0	10000.0		97.79	0.006612850818783045	180.0322880744934	261.0	"1x94-5x100
"
6x100	50.0	spr	0.1	0.9	10.0	10000.0		97.86	0.0006147495005279779	180.5224130153656	13199.0	"6x100
"
6x100	50.0	spr	0.5	0.1	10.0	10000.0		97.68	0.007079615723341703	180.03658413887024	11290.0	"1x70-1x98-2x84-1x82-1x83
"
6x100	50.0	spr	0.5	0.1	10.0	10000.0		97.74	0.01219938788563013	180.0639190673828	6316.0	"1x72-1x99-1x83-1x88-1x90-1x89
"
6x100	50.0	spr	0.5	0.1	10.0	10000.0		97.75	0.007236328441649675	180.03523707389832	366.0	"1x65-1x97-1x73-1x79-1x71-1x87
"
6x100	50.0	spr	0.5	0.5	10.0	10000.0		97.77	0.002402898157015443	180.10329604148865	3095.0	"1x50-1x90-1x65-1x64-1x60-1x62
"
6x100	50.0	spr	0.5	0.5	10.0	10000.0		97.2	0.02616226114332676	180.03403902053833	3228.0	"1x36-1x80-1x50-1x53-1x56-1x61
"
6x100	50.0	spr	0.5	0.5	10.0	10000.0		97.54	0.00397805031388998	180.0376739501953	3135.0	"1x46-1x78-1x51-1x48-1x49-1x62
"
6x100	50.0	spr	0.5	0.9	10.0	10000.0		97.6	0.027232781052589417	180.06311297416687	10590.0	"1x56-1x97-1x85-1x76-1x81-1x82
"
6x100	50.0	spr	0.5	0.9	10.0	10000.0		97.6	0.007106395438313484	180.096009016037	11170.0	"1x58-1x98-1x86-1x75-1x83-1x76
"
6x100	50.0	spr	0.5	0.9	10.0	10000.0		97.65	0.01600688509643078	180.0339870452881	7252.0	"1x60-1x96-2x79-1x74-1x86
"
6x100	50.0	spr	1.0	0.1	10.0	10000.0		97.52	0.020988034084439278	180.09363913536072	3073.0	"1x39-1x82-2x61-1x60-1x54
"
6x100	50.0	spr	1.0	0.1	10.0	10000.0		97.47	0.006292944308370352	79.22250008583069	7566.0	"1x44-1x71-1x49-1x53-1x49-1x45
"
6x100	50.0	spr	1.0	0.1	10.0	10000.0		97.21	0.023822186514735222	44.23582196235657	11417.0	"1x37-1x72-1x48-1x51-1x48-1x46
"
6x100	50.0	spr	1.0	0.5	10.0	10000.0		96.87	0.031507257372140884	80.87122511863708	5815.0	"1x27-1x51-1x28-1x25-1x27-1x28
"
6x100	50.0	spr	1.0	0.5	10.0	10000.0		96.78	0.04653480648994446	27.67515206336975	3086.0	"1x30-1x51-1x23-1x27-1x23-1x39
"
6x100	50.0	spr	1.0	0.5	10.0	10000.0		96.61	0.14126212894916534	25.16480016708374	3921.0	"1x24-1x46-1x28-1x25-1x24-1x31
"
6x100	50.0	spr	1.0	0.9	10.0	10000.0		97.1	0.05439695715904236	75.79776692390442	192.0	"1x34-1x84-2x64-1x66-1x62
"
6x100	50.0	spr	1.0	0.9	10.0	10000.0		97.01	0.01460373867303133	91.57092499732971	5383.0	"1x35-1x75-1x62-1x57-1x65-1x60
"
6x100	50.0	spr	1.0	0.9	10.0	10000.0		97.28	0.06908847391605377	102.87870788574219	9327.0	"1x30-1x82-1x54-1x52-1x61-1x69
"
6x500	50.0	spr	0.1	0.1	10.0	10000.0	"TIME=1800
"	98.11	8.209524094127119e-05	1800.0510261058807	28.0	"6x500
"
6x500	50.0	spr	0.1	0.1	10.0	10000.0	"TIME=1800
"	98.12	0.00012108194641768932	1800.5527000427246	48.0	"6x500
"
6x500	50.0	spr	0.1	0.1	10.0	10000.0	"TIME=1800
"	98.26	6.576325540663674e-05	1800.0373768806458	12.0	"6x500
"
6x500	50.0	spr	0.1	0.5	10.0	10000.0	"TIME=1800
"	98.18	7.209639443317428e-05	1800.0378050804138	14.0	"6x500
"
6x500	50.0	spr	0.1	0.5	10.0	10000.0	"TIME=1800
"	98.21	3.141437264275737e-05	1800.0316920280457	5.0	"6x500
"
6x500	50.0	spr	0.1	0.5	10.0	10000.0	"TIME=1800
"	98.16	0.00010574585758149624	1800.439218044281	46.0	"6x500
"
6x500	50.0	spr	0.1	0.9	10.0	10000.0	"TIME=1800
"	98.13	0.00015619589248672128	1800.414470911026	46.0	"6x500
"
6x500	50.0	spr	0.1	0.9	10.0	10000.0	"TIME=1800
"	98.04	2.6109599275514483e-05	1800.4772908687592	59.0	"6x500
"
6x500	50.0	spr	0.1	0.9	10.0	10000.0	"TIME=1800
"	98.22	0.000106552462966647	1800.0384240150452	10.0	"6x500
"
6x500	50.0	spr	0.5	0.1	10.0	10000.0	"TIME=1800
"	98.02	0.0004009949043393135	1800.0486979484558	28.0	"1x498-5x500
"
6x500	50.0	spr	0.5	0.1	10.0	10000.0	"TIME=1800
"	98.13	0.00016631190374027938	1800.3077988624573	61.0	"1x498-5x500
"
6x500	50.0	spr	0.5	0.1	10.0	10000.0	"TIME=1800
"	97.93	0.00024880957789719105	1800.1147289276123	23.0	"1x498-5x500
"
6x500	50.0	spr	0.5	0.5	10.0	10000.0	"TIME=1800
"	98.18	0.000346575427101925	1800.0894329547882	59.0	"1x452-5x500
"
6x500	50.0	spr	0.5	0.5	10.0	10000.0	"TIME=1800
"	97.94	0.003427305957302451	1800.081079006195	5.0	"1x477-5x500
"
6x500	50.0	spr	0.5	0.5	10.0	10000.0	"TIME=1800
"	98.1	0.000538886000867933	1800.5289368629456	47.0	"1x447-5x500
"
6x500	50.0	spr	0.5	0.9	10.0	10000.0	"TIME=1800
"	97.98	0.0026095279026776552	1800.0414581298828	4.0	"6x500
"
6x500	50.0	spr	0.5	0.9	10.0	10000.0	"TIME=1800
"	98.11	0.00016993690223898739	1800.1511490345001	102.0	"6x500
"
6x500	50.0	spr	0.5	0.9	10.0	10000.0	"TIME=1800
"	98.21	0.00039111098158173263	1800.0305490493774	2.0	"1x498-5x500
"
6x500	50.0	spr	1.0	0.1	10.0	10000.0	"TIME=1800
"	98.12	0.0034507575910538435	1800.1764380931854	770.0	"1x414-1x443-1x343-1x297-1x283-1x282
"
6x500	50.0	spr	1.0	0.1	10.0	10000.0	"TIME=1800
"	98.11	0.0013030711561441422	1800.0589020252228	27.0	"1x423-1x498-1x403-2x343-1x352
"
6x500	50.0	spr	1.0	0.1	10.0	10000.0	"TIME=1800
"	97.96	0.0011640185257419944	1800.0792779922485	5.0	"1x426-1x492-1x394-1x348-1x356-1x369
"
6x500	50.0	spr	1.0	0.5	10.0	10000.0	"TIME=1800
"	98.06	0.005280537065118551	1800.0869798660278	5825.0	"1x257-1x292-1x245-1x234-1x204-1x232
"
6x500	50.0	spr	1.0	0.5	10.0	10000.0	"TIME=1800
"	98.07	0.0003872970410156995	1800.0853769779205	6642.0	"1x260-1x297-1x243-1x231-1x236-1x245
"
6x500	50.0	spr	1.0	0.5	10.0	10000.0	"TIME=1800
"	98.12	0.0006949385278858244	1800.1064739227295	6717.0	"1x265-1x276-1x227-1x218-1x217-1x220
"
6x500	50.0	spr	1.0	0.9	10.0	10000.0	"TIME=1800
"	97.94	0.006138721015304327	1800.2017300128937	593.0	"1x408-1x481-1x421-1x382-1x376-1x402
"
6x500	50.0	spr	1.0	0.9	10.0	10000.0	"TIME=1800
"	98.07	0.0003843917802441865	1800.071455001831	59.0	"1x414-1x486-1x415-1x398-1x402-1x417
"
6x500	50.0	spr	1.0	0.9	10.0	10000.0	"TIME=1800
"	98.31	0.002058157930150628	1800.1731297969818	223.0	"1x401-1x454-1x398-1x382-1x395-1x405
"
